college,topic,count,URL,TopicForAuthors,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
College of Education,student outcomes,1,https:\/\/pages.charlotte.edu\/connections\/links\/student-outcomes\/,student outcomes,Anne Cash,https://pages.charlotte.edu/connections/people/acash7/,,,,
College of Education,social outcomes,1,https:\/\/pages.charlotte.edu\/connections\/links\/social-outcomes\/,social outcomes,Anne Cash,https://pages.charlotte.edu/connections/people/acash7/,,,,
College of Education,research of teaching practice,1,https:\/\/pages.charlotte.edu\/connections\/links\/research-of-teaching-practice\/,research of teaching practice,,,,,,
College of Education,assessment of student learning,1,https:\/\/pages.charlotte.edu\/connections\/links\/assessment-of-student-learning\/,assessment of student learning,,,,,,
College of Education,application of brain research to teaching,1,https:\/\/pages.charlotte.edu\/connections\/links\/application-of-brain-research-to-teaching\/,application of brain research to teaching,,,,,,
College of Education,academic outcomes,1,https:\/\/pages.charlotte.edu\/connections\/links\/academic-outcomes\/,academic outcomes,Anne Cash,https://pages.charlotte.edu/connections/people/acash7/,Stephanie Moller,https://pages.charlotte.edu/connections/people/stephanie-moller/,,
College of Education,behavioral outcomes,1,https:\/\/pages.charlotte.edu\/connections\/links\/behavioral-outcomes\/,behavioral outcomes,Anne Cash,https://pages.charlotte.edu/connections/people/acash7/,,,,
College of Education,observational data validity,1,https:\/\/pages.charlotte.edu\/connections\/links\/observational-data-validity\/,observational data validity,Anne Cash,https://pages.charlotte.edu/connections/people/acash7/,,,,
College of Education,observational data reliability,1,https:\/\/pages.charlotte.edu\/connections\/links\/observational-data-reliability\/,observational data reliability,Anne Cash,https://pages.charlotte.edu/connections/people/acash7/,,,,
College of Education,self-determination for people with disabilities,1,https:\/\/pages.charlotte.edu\/connections\/links\/self-determination-for-people-with-disabilities\/,self-determination for people with disabilities,,,,,,
College of Education,children mathematics education,1,https:\/\/pages.charlotte.edu\/connections\/links\/children-mathematics-education\/,children mathematics education,,,,,,
College of Education,literacy practices,1,https:\/\/pages.charlotte.edu\/connections\/links\/literacy-practices\/,literacy practices,Erin Miller,https://pages.charlotte.edu/connections/people/emille90/,Beth Murray,https://pages.charlotte.edu/connections/people/emurra17/,,
College of Education,early childhood literacy practices,1,https:\/\/pages.charlotte.edu\/connections\/links\/early-childhood-literacy-practices\/,early childhood literacy practices,Erin Miller,https://pages.charlotte.edu/connections/people/emille90/,,,,
College of Education,technology integration in preservice teacher education,1,https:\/\/pages.charlotte.edu\/connections\/links\/technology-integration-in-preservice-teacher-education\/,technology integration in preservice teacher education,Tehia Glass,https://pages.charlotte.edu/connections/people/tstarker/,,,,
College of Education,racism,1,https:\/\/pages.charlotte.edu\/connections\/links\/racism\/,racism,Erin Miller,https://pages.charlotte.edu/connections/people/emille90/,,,,
